db,phase,query_name,duration_sec,total_requests,success_requests,error_requests,ops_per_sec,p50_ms,p95_ms,p99_ms,avg_rows_returned,total_rows_returned,avg_cpu_percent,max_cpu_percent,avg_mem_percent,max_mem_percent,mem_limit_bytes,net_in_delta_bytes,net_out_delta_bytes,block_in_delta_bytes,block_out_delta_bytes
mysql,load_data,__load_data__,10.653823700034991,0,0,0,0.0,nan,nan,nan,nan,0,16.618000000000002,33.71,22.044,22.45,2147483648.0,0.0,0.0,200000.0,127900000.0
mysql,warmup,q10_top_sellers_qty,4.325586499995552,18,18,0,4.161285411820688,51.749549980740994,54.45145000703633,57.2646100539714,20.0,360,24.625,48.44,22.46,22.47,2147483648.0,45900.0,11300000.0,0.0,0.0
mysql,warmup,q11_top_categories,4.325586499995552,18,18,0,4.161285411820688,4.025049973279238,4.339724942110478,4.852104964666067,10.0,180,24.625,48.44,22.46,22.47,2147483648.0,45900.0,11300000.0,0.0,0.0
mysql,warmup,q1_user_by_id,4.325586499995552,19,19,0,4.392467934699615,1.1285999789834023,4.053159977775016,21.582711932715036,1.0,19,24.625,48.44,22.46,22.47,2147483648.0,45900.0,11300000.0,0.0,0.0
mysql,warmup,q2_all_users,4.325586499995552,19,19,0,4.392467934699615,86.99480001814663,90.08971997536716,95.56690393947065,10000.0,190000,24.625,48.44,22.46,22.47,2147483648.0,45900.0,11300000.0,0.0,0.0
mysql,warmup,q3_user_by_login,4.325586499995552,18,18,0,4.161285411820688,2.723850018810481,2.874514943687245,2.9793029499705876,1.0,18,24.625,48.44,22.46,22.47,2147483648.0,45900.0,11300000.0,0.0,0.0
mysql,warmup,q4_sellers_rating,4.325586499995552,18,18,0,4.161285411820688,1.968399970792234,2.170959929935634,2.2188319778069854,100.0,1800,24.625,48.44,22.46,22.47,2147483648.0,45900.0,11300000.0,0.0,0.0
mysql,warmup,q5_orders_offset,4.325586499995552,18,18,0,4.161285411820688,3.5716500715352595,3.898525040131062,3.99882493307814,50.0,900,24.625,48.44,22.46,22.47,2147483648.0,45900.0,11300000.0,0.0,0.0
mysql,warmup,q6_products_by_seller,4.325586499995552,18,18,0,4.161285411820688,1.07709999429062,1.441534998593852,1.459826979553327,1.1666666666666667,21,24.625,48.44,22.46,22.47,2147483648.0,45900.0,11300000.0,0.0,0.0
mysql,warmup,q7_products_join_sellers,4.325586499995552,18,18,0,4.161285411820688,1.1141999857500196,1.3591600698418915,1.36487195501104,1.1666666666666667,21,24.625,48.44,22.46,22.47,2147483648.0,45900.0,11300000.0,0.0,0.0
mysql,warmup,q8_order_items_join_products,4.325586499995552,18,18,0,4.161285411820688,0.964850012678653,1.1257150035817174,1.1733830498997122,2.7222222222222223,49,24.625,48.44,22.46,22.47,2147483648.0,45900.0,11300000.0,0.0,0.0
mysql,warmup,q9_orders_items_products_by_user,4.325586499995552,18,18,0,4.161285411820688,7.604700047522783,19.242839969228953,19.307847989257425,2.2777777777777777,41,24.625,48.44,22.46,22.47,2147483648.0,45900.0,11300000.0,0.0,0.0
mysql,benchmark,q1_user_by_id,2.0105555000482127,1000,1000,0,497.37497919158176,0.6024999311193824,0.790444971062243,0.9473769925534722,1.0,1000,0.99,0.99,22.46,22.46,2147483648.0,0.0,0.0,0.0,0.0
mysql,benchmark,q2_all_users,88.9638993999688,1000,1000,0,11.240514486714941,88.17040000576526,93.03186510223895,98.47435697214678,10000.0,10000000,13.796000000000001,15.43,22.467714285714287,22.49,2147483648.0,5050000.0,1572800000.0,0.0,5000000.0
mysql,benchmark,q3_user_by_login,2.0020975000225008,1000,1000,0,499.4761743565243,0.6260499940253794,0.9019999997690319,1.259098924929276,1.0,1000,0.64,0.64,22.45,22.45,2147483648.0,0.0,0.0,0.0,0.0
mysql,benchmark,q4_sellers_rating,2.010119399987161,1000,1000,0,497.4828858456802,1.610000035725534,2.1488800586666907,2.592540949117392,100.0,100000,15.63,15.63,22.48,22.48,2147483648.0,0.0,0.0,0.0,0.0
mysql,benchmark,q5_orders_offset,4.388496399973519,1000,1000,0,227.86847905492965,3.466599970124662,3.9257550903130323,4.400210971944033,50.0,50000,31.814999999999998,53.65,22.485,22.49,2147483648.0,90000.0,0.0,0.0,0.0
mysql,benchmark,q6_products_by_seller,2.014020500006154,1000,1000,0,496.51927574567605,0.6336499354802072,0.9417249530088152,1.2716209050267935,1.026,1026,0.57,0.57,22.48,22.48,2147483648.0,0.0,0.0,0.0,0.0
mysql,benchmark,q7_products_join_sellers,2.001940199988894,1000,1000,0,499.51542009374083,0.6543999770656228,0.9697450499515979,1.378805903950706,1.026,1026,0.9,0.9,22.45,22.45,2147483648.0,0.0,0.0,0.0,0.0
mysql,benchmark,q8_order_items_join_products,2.0092033999972045,1000,1000,0,497.7096893233365,0.61114999698475,0.8357850718311964,1.034037957433611,3.029,3029,0.72,0.72,22.45,22.45,2147483648.0,0.0,0.0,0.0,0.0
mysql,benchmark,q9_orders_items_products_by_user,2.013122000033036,1000,1000,0,496.740883058051,0.7029499975033104,1.0304200404789299,1.2382569978944955,3.035,3035,0.82,0.82,22.46,22.46,2147483648.0,0.0,0.0,0.0,0.0
mysql,benchmark,q10_top_sellers_qty,58.567924799979664,1000,1000,0,17.07419211821463,55.44699996244162,63.37680997094139,78.71462491573764,20.0,20000,94.01347826086956,99.19,22.450434782608696,22.46,2147483648.0,240000.0,0.0,0.0,0.0
mysql,benchmark,q11_top_categories,4.39140269998461,1000,1000,0,227.71767207856035,3.765100031159818,4.132010025205091,4.436276017222553,10.0,10000,54.849999999999994,74.32,22.47,22.47,2147483648.0,90000.0,0.0,0.0,0.0
